tweet_id	parent_tweet_id	tweet_text	tweet_type	created_at	language	user_id	username	parent_user_id	parent_username
1661792408139431937	1661788921288687639	"Valencia player, Diakhaby didnâ€™t pose in the photo of the â€œanti-racismâ€ Campaign of La Liga and Spanish federation 

(As his claim of being called a racial slur from Cadiz player last year was dismissed by La Liga as they werenâ€™t able to prove it) https://t.co/0WySMk8pXr"	retweet	5/25/2023 17:52	en	743152301058170880	dante369	331229559	rmadridinfo
1661829914817863717	1661805828004024320	Self-proclaimed ANTIFA member &amp; @UofCincy researcher, @mloadenthal, discusses how â€œantifascistsâ€ can deplatform organizations or individuals if enough people decide they are too conservative or â€œradical." https://t.co/mdC1z5Nn5X	retweet	5/25/2023 20:21	en	1626819811970887680	paymeinbitcoin3	491719838	tpusa
1661224704567308289	1661067902563528704	"I cannot trust self-proclaim ""Anti-war Russian artist"" anymore. Of course not because of prejudice nor Racism. 
People must prioritize donations for refugees instead. https://t.co/AwQ2RLG2uF"	retweet	5/24/2023 4:16	en	1536814658073640961	papita_q	1473864194110128129	nymnwales
1661702658506489857	1661444691769040896	@jmillthathrill @FrankieFeckless @joanie109 @ericareport We have seen you people in action and you all have dropped the pretense and shown the racism and fascist bigotry and hatred that are the core of Trump supporters. Now there is no question about what kind of people we are dealing with. Violent, anti government traitors https://t.co/GMNIxumSZu	reply	5/25/2023 11:56	en	1468191522	1jameswho		
1661505203315806208	1661384610826141696	gemesh sedunia ngeliatin ony mainðŸ¥º blm waktunya ketemu hiks gapapa ya kento &lt;/3 https://t.co/8GsfnRllEE	retweet	5/24/2023 22:51	in	1410086074810986496	deedianaa11	263101639	haloakukejora
1661672242391187457	1661644526195474432	"We don't know about others, but our champ, @ShivThakare9 is already setting trends for Khatron Ke Khiladi season 13.

@iamrohitshetty  @ColorsTV 
@indiaforums  #ShivThakare
#ShivThakareInKKK13 #KKK13  
#ShivKiSena https://t.co/N8ccuNuaAn"	retweet	5/25/2023 9:55	en	1661669079617511426	vtanwar85840	1569046029538045952	avatarmantra
1661591499065409536	1661555529481592834	Itâ€™s literally just racism. Miles in comics, movies, and games has become his own character. Hell, in the comics, his books, even in 616 exist completely parallel to Peterâ€™s, with little to no crossover. Heâ€™s a fully fleshed out, likeable character. Itâ€™s just cuz heâ€™s black. https://t.co/fOVw7Kg6pc	retweet	5/25/2023 4:34	en	1591350458651619328	tyronejoestaar	1080010427931742208	stormlord96
1661491916016427009	1661349635254829056	@PadelKass @Vitaldent_es @Vitaldent_es su apoyo a un programa que incita al odio y al racimo, es terrible, muy lamentable! #NoAlRacismo #StopRacism #BoicotAlChiringuito #cierrechiringuito #ApagonAlChiringuito	retweet	5/24/2023 21:58	es	1589960290300579841	carlosd79811548	1520514503573651464	cariasrojascr
1661526038151569408	1661401959377559557	@mizzahferrer @MenorDa_ZL_ @HadokenExx Facebook tem 120 milhÃµes de usuÃ¡rios ativos no Brasil. Kkk	reply	5/25/2023 0:14	pt	1517262322179489793	rockybelavista		
1661431842350694400	1661430007145660427	"@chrisdpineda @hungariancule @JadersonLeal9 @FriendlyDiver @MadridXtra @VMScom What?

Are you okay in the head?

What this has to do with racism?

If Vini rapes and kills a woman tomorrow and we judge him is that racism too?"	reply	5/24/2023 17:59	en	1287311071611621377	barca_babyyy	1407889377406169088	chrisdpineda
